"sample.depths","sample.ages","upland.sum","Abies.balsamea","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Fagus.grandifolia","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.pennsylvanica.F..americana.type","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myricaceae","Ostrya.Carpinus","Platanus","Populus","Quercus","Rhamnus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Amorpha","Artemisia","Asteraceae.undiff.","Balsaminaceae","Brassicaceae","Campanulaceae","Amaranthaceae","Cyperaceae","Ericaceae.undiff.","Galium","Humulus","Iva","Monotropa","Oxalis","Dalea","Poaceae","Plantago","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Salsola","Sarcobatus.vermiculatus","Stachys","Thalictrum","Tradescantia","Urtica","Vaccinium"
670.5,9323,332,0,12,7,1,12,8,0,0,0,11,0,0,1,3,14,0,4,0,6,0,2,0,2,0,0,0,4,0,0,0,1,2,2,0,0,149,0,23,0,3,0,32,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,0,0,0,0,0,3,0,0,0,0,0,4,0
671.5,9340,334,0,2,0,0,8,5,0,0,3,0,0,0,3,5,28,0,3,0,0,4,25,0,2,1,1,0,1,7,2,0,0,0,1,0,8,130,0,20,0,3,0,43,0,7,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,6,2,0,1,0,4,0,0,0,0,0,0,1,0
676.5,9422,349,1,10,3,0,26,0,0,0,6,0,0,0,7,2,20,0,1,1,0,11,0,0,6,2,2,0,1,1,3,0,0,0,3,0,8,146,0,17,0,3,0,25,0,9,0,5,2,0,0,0,0,7,0,0,0,1,0,0,0,11,3,0,0,0,6,0,0,0,0,0,0,0,0
682.5,9517,471,0,6,0,0,13,0,0,0,2,0,0,0,0,0,8,0,4,0,0,1,0,0,1,0,0,0,3,1,1,0,0,0,10,0,5,214,0,7,0,1,0,23,0,7,0,6,133,0,0,0,3,0,0,0,0,0,0,0,0,19,1,0,0,0,1,0,0,0,0,0,0,1,0
688.5,9611,335,0,4,2,1,17,0,0,0,2,0,0,0,0,1,14,0,2,0,0,3,0,0,2,0,0,0,3,0,0,0,1,1,2,1,5,214,0,2,0,3,0,21,0,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,1,0,0,0,4,0,0,0,0,0,0,4,0
694.5,9706,341,0,4,0,0,20,0,0,1,3,0,0,0,3,6,14,0,2,0,1,4,3,0,0,1,1,0,0,1,0,2,0,1,6,0,0,201,0,6,0,6,0,24,0,10,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,6,4,0,0,0,4,0,0,0,0,0,0,1,0
700.5,9801,336,0,2,0,0,9,0,0,0,5,0,0,0,0,6,14,0,5,0,0,2,4,0,4,2,2,0,1,1,1,0,0,1,4,0,0,211,0,8,0,8,0,16,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,12,8,0,0,0,3,0,0,0,0,0,0,1,0
706.5,9901,330,0,2,4,2,17,1,0,0,2,1,0,0,1,6,8,2,6,0,0,3,0,0,1,5,5,0,2,0,0,0,0,2,8,0,0,185,0,11,0,3,0,33,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,1,2
712.5,10005,328,3,13,0,0,36,0,0,4,12,0,0,0,5,1,18,0,4,0,0,4,0,0,10,2,2,0,0,0,1,0,0,0,11,1,1,130,0,19,0,1,0,24,0,5,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
718.5,10115,331,0,21,4,1,64,0,0,0,6,12,0,0,1,0,15,0,3,0,0,5,0,0,7,0,0,0,1,1,0,0,0,0,14,0,2,108,2,4,2,5,0,22,0,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,7,13,0,0,0,1,0,0,0,0,0,0,3,0
727.5,10296,331,1,36,35,49,30,2,0,15,0,7,0,0,0,1,12,2,3,0,2,5,11,0,7,3,3,0,0,8,1,0,0,0,4,0,10,4,0,16,0,1,0,36,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,10,0
743.5,10677,357,3,24,7,8,106,1,0,1,6,15,0,1,4,4,8,1,3,0,6,3,2,0,15,0,0,0,2,0,1,0,0,0,24,0,1,37,0,10,0,0,0,9,0,5,0,0,1,0,0,1,3,8,0,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,2,0,0,0,0
745.5,10731,331,1,10,8,14,124,0,2,1,5,7,0,0,0,7,14,0,7,0,0,5,0,0,3,0,0,0,1,1,2,0,0,0,10,0,1,56,2,5,1,4,0,10,0,5,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,7,7,0,1,0,3,0,0,0,0,0,0,1,0
755.5,11028,322,1,16,3,14,167,1,0,0,1,4,0,1,4,2,5,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,11,0,4,43,0,2,1,3,0,9,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,1,0
757.5,11093,328,2,70,12,4,102,3,0,4,4,0,0,2,0,5,7,0,0,0,0,3,0,0,16,0,0,0,0,1,0,0,0,2,15,0,2,27,0,8,2,0,2,8,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,1,0
759.5,11160,319,4,20,3,34,131,1,0,0,0,6,0,0,1,7,12,0,2,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,13,0,1,41,0,3,2,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0
760.5,11194,328,1,9,9,12,151,0,1,1,4,0,0,2,1,2,2,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,0,0,9,0,3,57,20,5,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,1,0,0,0,0,0,0,0,0,3,0
762.5,11264,314,1,43,32,1,155,0,0,0,0,3,0,0,2,1,0,0,0,0,3,2,0,0,10,0,0,0,0,2,6,0,0,0,1,0,0,23,0,4,5,0,0,6,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
765.5,11373,326,9,96,1,8,75,5,1,0,1,5,0,1,3,2,6,0,2,0,3,6,0,0,12,0,0,0,1,0,6,0,0,0,18,0,3,16,0,10,7,0,0,3,0,1,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0,1,0
769.5,11522,318,4,132,2,2,78,0,0,0,1,5,0,2,0,2,4,0,8,0,0,6,0,0,3,0,0,0,1,0,2,0,0,0,2,0,3,32,1,2,5,1,0,2,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,3,0
772.5,11635,325,1,92,9,3,66,0,0,0,3,1,0,5,0,5,4,0,3,0,0,11,0,0,10,0,0,0,1,0,2,0,0,0,10,0,7,48,2,4,2,0,0,10,0,7,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,8,5,0,1,0,0,1,0,0,0,0,0,0,0
775.5,11747,340,4,154,3,0,23,14,0,0,1,6,0,1,4,3,3,1,1,0,6,4,0,0,16,0,0,0,0,1,9,0,0,1,12,2,0,15,0,9,0,0,1,6,0,8,0,2,0,0,0,0,2,6,0,1,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,1,0,3,0
777.5,11819,371,7,110,1,0,8,5,0,2,3,7,0,2,0,3,8,0,10,1,5,8,3,0,27,0,0,0,1,1,5,0,0,3,25,3,4,21,0,12,8,1,0,7,0,17,0,3,1,0,0,0,7,5,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,9,0
778.5,11855,355,2,116,4,0,11,1,0,0,0,0,0,0,2,9,6,2,10,0,0,8,3,0,26,0,0,0,0,0,1,0,2,1,33,0,8,37,3,7,4,0,1,7,0,5,0,3,2,0,0,0,5,1,0,0,0,0,0,0,0,22,12,0,1,0,0,0,0,0,0,0,0,0,0
785.5,12085,390,3,84,1,0,4,16,0,0,0,12,0,2,0,1,8,1,3,0,7,19,0,0,64,0,0,0,1,0,3,0,0,4,17,0,5,19,2,13,9,0,1,3,0,22,0,7,3,0,0,0,3,6,0,3,1,0,0,0,0,27,4,0,0,1,4,1,0,0,0,3,0,3,0
787.5,12143,370,1,128,0,0,9,0,0,0,2,12,0,0,3,3,13,3,1,0,0,11,0,0,25,0,0,0,0,0,0,0,0,0,12,0,3,43,0,12,3,1,0,14,0,16,0,6,1,0,0,0,4,6,0,2,0,0,0,0,0,25,5,0,0,0,2,0,0,0,0,0,0,4,0
790.5,12220,367,0,111,0,0,11,0,0,0,5,0,0,0,1,5,10,0,13,0,0,9,1,0,27,0,0,0,1,0,1,0,0,1,20,0,10,54,1,10,9,0,0,0,0,11,0,1,4,0,0,0,9,6,0,0,0,0,0,0,0,25,10,0,1,0,0,0,0,0,0,0,0,0,0
792.5,12265,399,3,71,0,3,5,1,0,0,4,4,0,3,5,6,13,2,2,2,3,20,0,0,54,0,0,0,2,1,1,0,0,0,32,0,10,32,1,15,1,0,0,6,0,23,0,8,0,0,0,0,5,6,0,2,0,0,0,0,0,43,1,0,0,1,1,0,0,0,0,3,0,4,0
794.5,12304,346,1,90,29,3,28,1,0,0,1,23,0,0,0,4,11,3,2,3,2,9,0,0,27,0,0,0,3,0,5,0,0,0,10,0,8,25,0,13,0,0,0,4,0,8,0,4,2,0,0,0,0,3,0,1,0,0,0,0,0,14,3,0,1,0,1,0,0,0,0,0,0,4,0
796.5,12337,360,0,78,0,0,4,0,0,0,3,10,0,0,0,16,10,2,7,0,0,10,1,0,32,0,0,0,1,2,1,0,0,8,25,0,11,40,5,27,3,1,2,1,0,11,0,5,2,0,0,0,5,3,0,0,0,0,0,0,0,23,8,0,3,0,0,0,0,0,0,0,0,0,0
798.5,12364,345,3,123,0,0,22,9,1,0,0,17,0,0,0,1,9,1,1,0,0,6,2,0,34,0,0,0,0,0,2,0,0,0,17,0,7,30,0,9,3,0,3,2,0,10,0,1,0,0,0,0,4,1,0,2,0,0,0,0,0,18,5,0,1,0,0,0,0,1,0,0,0,0,0
802.5,12418,358,5,146,0,0,8,0,0,0,1,5,0,0,0,0,7,0,7,0,0,10,0,0,27,0,0,0,1,0,3,0,2,7,14,0,17,21,0,18,0,0,1,0,0,9,0,7,1,0,0,0,4,5,0,0,0,0,0,0,0,26,3,0,0,0,2,1,0,0,0,0,0,0,0
808.5,12530,362,6,174,0,0,2,1,0,0,2,5,0,0,5,7,1,2,0,0,1,4,0,1,25,0,1,0,1,0,5,0,0,1,8,0,16,16,0,7,2,3,1,3,0,12,0,6,0,0,0,0,0,7,0,0,1,0,0,0,0,25,4,0,1,0,2,0,0,0,0,2,0,0,2
812.5,12649,340,8,196,0,0,8,16,0,0,2,3,0,0,0,1,6,0,1,0,0,6,0,0,23,0,0,0,0,0,2,0,0,0,10,0,0,7,1,8,2,0,1,1,0,2,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,3,4
814.5,12728,325,3,202,0,0,7,15,0,0,1,11,0,0,0,0,3,0,0,0,1,5,1,0,18,0,0,0,1,0,12,0,0,0,11,0,1,2,0,3,0,0,0,4,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0
819.5,12996,350,4,142,0,0,18,0,1,0,1,16,0,1,0,2,3,1,4,0,0,7,5,0,22,0,0,0,4,0,2,0,0,0,15,0,2,29,0,16,2,0,2,1,0,6,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,24,1,0,1,0,5,1,0,0,0,0,0,3,0
821.5,13133,341,0,173,0,0,4,23,0,0,3,7,0,2,0,0,2,0,1,1,0,5,1,0,36,0,0,0,0,0,4,0,0,1,23,0,4,3,0,7,0,0,0,0,0,4,0,2,1,0,0,0,0,7,0,0,0,0,0,0,0,16,6,0,1,0,2,0,0,0,0,1,0,1,0
826.5,13515,327,0,195,0,0,5,0,0,0,0,9,0,0,0,2,5,0,2,1,0,4,0,0,31,0,0,0,4,0,2,0,0,0,8,0,0,19,0,7,6,0,0,0,0,6,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,8,2,0,0,0,2,0,0,0,0,0,0,3,0
831.5,13888,395,6,139,0,0,2,18,1,1,4,9,0,1,0,1,2,0,0,1,2,7,0,1,53,0,1,0,1,0,6,0,0,0,22,0,5,3,1,7,1,0,1,5,0,11,0,8,3,0,0,0,1,5,0,0,0,0,0,0,0,46,3,0,1,0,1,0,0,0,0,0,0,1,14
836.5,14200,321,10,232,0,0,2,5,0,0,0,3,0,2,1,1,1,0,0,0,1,6,0,0,18,0,0,0,0,0,6,0,0,0,3,0,2,0,0,5,1,0,0,1,0,1,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0
841.5,14462,342,5,229,0,0,4,7,0,0,3,6,0,3,0,1,3,1,0,0,0,3,0,0,11,0,0,1,0,0,10,0,0,0,0,0,3,0,2,8,0,0,0,0,0,5,0,7,0,0,0,0,2,2,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0,2,0
845.5,14650,316,6,252,0,0,11,4,0,0,0,3,0,1,1,0,1,0,0,0,1,2,0,0,7,0,0,0,0,0,3,0,0,0,4,0,1,0,1,3,0,0,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
846.5,14696,326,1,239,0,1,13,0,0,0,1,1,0,0,2,0,2,0,0,0,0,10,0,0,8,0,0,0,0,0,2,0,0,0,0,0,4,7,0,3,6,0,0,0,0,7,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
848.5,14785,346,4,242,0,0,4,3,0,0,2,6,5,1,0,2,0,0,0,2,1,7,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,1,0,0,0,0,4,0,9,4,0,0,0,1,1,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,3,0,1,0,1,4
851.5,NA,327,0,258,1,0,6,5,0,0,0,5,0,1,0,1,0,0,0,1,0,4,0,0,6,0,0,0,0,1,3,0,0,0,1,0,1,0,0,6,1,0,0,0,0,10,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0
854.5,NA,316,11,240,0,0,3,2,0,0,2,6,4,1,1,2,0,0,0,0,0,7,0,0,10,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,1,0,2,0,4,3,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
856.5,NA,324,1,258,0,0,4,2,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,16,0,0,0,0,0,1,0,0,0,1,0,3,0,0,6,2,0,0,0,0,3,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,1,0
861.5,NA,325,4,236,0,0,6,5,0,0,1,7,0,1,0,0,0,2,0,1,0,2,0,0,19,0,0,0,0,0,4,0,0,0,5,0,3,0,0,2,0,0,2,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
866.5,NA,363,12,227,1,0,2,6,0,0,0,7,0,5,0,1,0,0,0,0,0,7,1,0,15,0,0,0,0,0,11,0,0,0,2,0,0,0,0,4,0,0,0,0,0,5,0,11,2,0,0,0,0,11,0,0,0,1,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,1,0
871.5,NA,342,8,226,2,0,9,5,0,0,0,6,0,8,0,0,0,0,0,1,0,3,0,1,13,0,1,0,0,0,14,0,0,0,2,0,3,0,0,2,1,0,0,0,0,4,0,6,0,0,0,0,2,3,0,0,0,0,0,0,0,19,1,0,1,0,0,0,0,0,0,1,0,0,0
876.5,NA,312,3,229,0,1,22,0,0,0,1,8,4,0,5,0,6,2,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
881.5,NA,323,7,223,0,0,6,3,0,0,0,8,0,6,0,1,0,0,1,0,0,3,0,0,12,0,0,0,0,0,23,0,0,0,2,0,1,0,0,2,2,0,0,0,0,3,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,1,0
887.5,NA,333,5,246,1,1,6,0,0,0,4,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,2,0,0,2,0,1,7,0,0,0,0,0,0,0,8,4,0,0,0,1,0,1,2,0,1,1,0,0,0
890.5,NA,321,15,240,0,0,2,1,0,0,3,3,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0
896.5,NA,337,15,237,0,1,1,1,0,0,0,0,1,1,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15,0,0,4,0,0,0,0,0,2,0,5,3,0,0,0,0,2,0,0,0,1,0,0,0,19,0,0,1,0,0,0,0,0,1,0,0,3,0
900.5,NA,336,14,242,0,1,6,0,0,0,2,7,0,0,0,2,0,1,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,9,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,22,1,0,1,0,0,0,0,0,0,0,0,3,0
906.5,NA,366,16,180,0,0,11,9,0,0,6,12,0,8,0,2,0,0,0,5,1,15,0,0,9,0,0,2,0,0,4,0,0,0,3,0,12,0,0,5,0,0,1,0,0,1,0,4,2,0,0,0,1,17,0,0,1,0,0,0,0,34,1,0,1,0,0,0,0,0,0,0,0,3,0
910.5,NA,320,6,256,0,0,1,7,0,0,0,4,0,0,0,0,0,0,0,4,0,8,0,0,4,0,0,0,0,0,1,0,0,0,2,0,2,0,0,3,0,0,1,0,0,0,0,3,2,0,0,0,2,4,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0
916.5,NA,332,12,234,0,0,6,1,0,0,1,2,0,2,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,0,0,19,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,4,0
920.5,NA,323,14,230,1,0,9,1,0,0,0,1,1,3,0,0,0,0,0,0,3,9,0,0,2,0,0,0,0,0,3,0,0,0,0,0,12,0,0,11,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0
930.5,NA,374,11,185,1,0,12,9,0,0,4,4,0,0,1,0,0,3,0,12,3,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,18,0,1,19,0,0,0,0,0,3,0,4,0,0,0,0,4,1,0,0,4,0,0,0,0,39,5,0,1,0,3,0,0,0,0,0,0,0,4
954.5,NA,396,0,199,6,1,5,0,1,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,28,0,0,49,0,0,0,0,10,4,0,1,2,0,0,0,0,30,0,0,1,1,4,0,0,27,5,0,1,1,0,0,0,0,0,0,1,2,0
1082.5,NA,357,2,198,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,45,0,0,26,0,0,0,0,2,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,34,12,0,0,0,0,0,0,0,0,0,0,0,0
