"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Aquifoliaceae.undiff.","Betula","Carya","Castanea","Celtis","Cupressaceae","Fagus","Fraxinus.undiff.","Fraxinus.pennsylvanica.F..americana.type","Ilex","Juglans.cinerea","Juglans.undiff.","Larix","Morus","Nyssa","Ostrya.Carpinus","Picea","Pinus.undiff.","Pinus.subg..Strobus","Pinus.subg..Pinus","Populus.undiff.","Populus.balsamifera.type","Prunus.Sorbus","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus.viridis.subsp..crispa","Alnus.incana","Alnus.undiff.","Anacardiaceae.undiff.","Cephalanthus","Cornus","Corylus","Ericaceae","Myrica","Parthenocissus","Rhus","Rubus","Sambucus","Viburnum","Vitis","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae..high.spine.","Asteraceae..low.spine.","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Berberidaceae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Epilobium","Galium","Hypericum","Impatiens","Plantago","Poaceae","Polygonum","Potentilla","Ranunculaceae.undiff.","Rosaceae.trees","Saxifragaceae","Thalictrum","Urtica"
330,7785,441,0,0,1,0,0,6,0,20,0,2,0,1,13,6,0,0,0,0,1,0,10,1,0,0,34,11,1,0,0,145,2,1,10,2,0,0,35,0,6,0,8,3,2,0,0,0,0,0,2,4,0,0,0,0,0,13,0,0,3,0,0,16,0,1,15,0,0,62,1,0,0,2,0,1,0
340.5,7929,352,0,0,0,0,0,5,0,18,1,0,0,0,8,2,2,0,0,1,0,0,2,0,0,46,0,0,0,0,0,129,3,0,9,0,0,0,23,0,10,0,8,6,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,8,0,0,32,0,0,7,0,0,26,0,0,0,0,0,0,0
351,8601,423,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,186,128,0,0,0,40,0,0,20,0,0,0,7,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0
360,9015,436,0,0,0,0,0,0,0,25,0,1,0,3,1,3,0,0,0,1,0,0,0,2,1,0,159,132,0,0,0,53,0,0,26,1,0,0,1,0,0,0,2,5,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,6,0,0,0,0,0,0,0
370.5,9497,449,0,0,1,0,0,1,0,66,0,1,1,0,1,3,1,0,0,0,0,0,0,3,1,0,151,61,0,0,0,53,0,0,21,5,6,4,2,0,0,0,12,25,5,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0
380.5,9957,338,0,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,157,34,0,0,0,51,1,0,4,2,0,0,11,0,1,0,7,13,3,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0
394.5,10600,461,1,0,1,0,0,4,0,78,1,1,0,2,1,0,0,0,0,1,1,2,0,4,4,0,196,22,1,0,0,56,1,0,6,1,10,2,0,0,1,0,1,8,4,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,25,0,0,5,0,0,15,0,0,0,0,0,0,0
405.5,11088,331,2,0,0,0,0,2,0,37,0,0,0,0,0,2,0,1,0,0,0,2,1,5,2,0,183,52,0,0,0,21,0,0,1,0,1,2,2,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0
417,11236,451,4,0,0,0,0,1,0,63,0,0,1,0,2,2,0,1,0,2,0,0,0,1,21,0,161,112,0,0,0,28,1,0,5,3,0,0,11,0,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,8,0,0,0,0,0,0,0
425,11338,350,1,0,0,0,0,0,0,59,1,0,0,2,1,2,0,3,0,1,1,0,0,2,17,0,128,60,0,0,0,14,2,0,1,1,0,0,17,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,0,0
430,11403,364,10,0,0,0,0,2,0,76,0,0,0,0,1,2,0,2,0,1,5,0,0,3,22,0,44,104,0,0,0,15,0,0,0,1,0,0,38,1,0,0,6,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0,0,0
440,11531,388,10,0,0,0,1,0,0,34,1,0,0,6,0,8,0,2,0,0,1,0,0,3,79,0,12,89,5,0,0,23,0,0,7,2,0,0,50,0,0,0,3,4,8,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,2
452.5,11801,424,5,0,1,0,0,2,0,45,0,0,0,0,0,6,0,2,0,0,0,0,0,2,154,0,6,101,2,0,0,16,2,0,7,1,0,0,22,0,0,0,7,3,20,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0
472.5,12198,421,18,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,2,238,0,10,60,1,0,0,4,1,0,4,0,0,0,20,0,0,0,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0
480,12329,469,10,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,277,0,0,65,0,0,0,5,1,0,1,0,0,0,12,0,0,0,4,1,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,54,0,0,0,0
492.5,12547,436,14,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,4,269,97,0,0,0,0,0,6,0,0,4,0,0,0,5,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,1
512.5,12896,461,10,0,0,0,0,0,0,12,0,0,4,0,4,6,0,0,0,0,0,0,0,10,133,0,0,209,1,0,0,16,1,0,0,1,0,0,3,0,0,0,1,2,13,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,1,15,1,0,0,0,0,0,0
530,12942,443,15,0,0,0,0,0,0,16,1,0,0,1,2,5,0,0,0,0,0,0,0,8,219,108,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0
542.5,12974,435,23,0,0,0,0,0,0,13,1,0,2,0,3,7,0,0,0,0,0,0,0,5,223,91,0,0,1,0,0,22,0,0,0,2,0,0,2,0,0,0,4,1,12,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,6,0,0,0,0,0,10,0,0,0,0,0,0,0
570.5,13047,369,4,0,0,0,0,0,0,10,0,0,4,0,1,4,0,0,0,1,1,0,0,7,178,61,0,0,3,0,0,16,0,0,0,1,0,0,5,0,0,0,1,2,17,0,0,0,1,0,0,7,0,0,1,0,0,4,0,0,0,0,0,16,0,0,0,0,0,24,0,0,0,0,0,0,0
612.5,13156,357,5,0,0,0,0,0,0,8,0,0,1,0,0,4,0,0,0,0,0,0,0,5,228,43,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,0,0,18,0,0,0,1,0,0,0
632.5,13208,359,1,0,0,0,0,0,0,25,0,0,1,0,0,8,1,0,0,0,0,0,0,6,174,55,0,0,2,0,1,18,2,0,0,1,0,0,2,0,0,0,5,0,12,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,8,0,0,0,0,1,30,0,0,0,0,0,0,1
670.5,13307,335,1,0,0,0,0,0,0,16,1,0,0,0,0,5,1,0,0,0,0,0,0,4,193,0,0,33,1,0,0,13,3,0,0,0,0,0,1,0,0,0,2,0,21,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,7,1,0,0,0,0,23,0,0,0,0,1,0,2
722.5,13442,394,0,0,0,0,0,0,0,19,0,0,3,0,0,2,1,0,0,0,0,1,0,5,231,0,0,24,3,0,0,7,8,0,0,2,0,0,0,0,0,0,6,0,38,0,0,0,0,0,0,3,0,0,1,0,0,8,0,0,0,0,1,10,0,0,0,0,0,18,0,0,0,3,0,0,0
792,NA,358,1,0,0,0,0,0,0,61,0,0,0,2,0,7,0,0,0,1,0,0,0,8,127,13,0,0,2,5,1,3,24,0,0,0,0,0,1,0,0,0,4,1,18,0,0,0,0,0,0,4,0,0,16,0,0,8,0,1,0,0,0,17,0,1,0,0,0,21,0,3,0,4,0,0,4
