"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Lamiaceae","Plantago","Poaceae","Polygonum"
39,247,350,1,0,2,25,0,0,0,0,0,0,8,0,0,2,7,0,0,4,0,7,201,79,0,0,1,2,0,5,0,1,2,0,0,0,0,0,3,0
43,277,246,0,0,3,10,1,0,0,0,1,0,6,0,0,0,9,1,8,6,3,7,116,46,1,0,3,0,0,20,0,1,0,0,0,0,0,1,3,0
51,337,332,1,2,5,13,0,0,0,0,2,0,1,1,0,1,8,0,0,3,0,4,168,89,1,0,5,8,0,9,0,2,3,2,0,0,0,0,4,0
59,398,343,4,0,2,14,0,0,0,1,1,0,2,0,0,3,4,0,0,2,0,4,210,73,0,0,4,4,1,5,0,0,3,0,0,0,0,1,5,0
67,458,312,0,0,2,23,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,3,202,47,0,0,1,2,0,16,0,2,0,0,0,0,0,0,6,0
71,488,314,1,2,4,11,0,0,0,2,1,0,0,1,0,1,5,0,2,2,0,5,163,71,0,0,1,2,0,26,0,1,6,0,0,0,0,4,3,0
77,533,403,0,3,6,22,0,0,0,0,4,0,4,0,0,0,8,1,13,7,2,4,175,73,1,0,0,3,0,61,0,1,2,0,0,1,0,6,6,0
83,569,307,1,8,2,6,0,0,0,1,3,0,1,4,0,0,2,0,1,4,0,3,110,109,0,0,2,2,1,26,0,6,3,0,0,0,0,3,9,0
87,581,354,0,0,1,21,0,0,0,0,0,0,0,0,0,3,6,1,0,5,0,2,225,76,0,0,5,1,0,2,0,2,1,1,0,0,0,0,2,0
91,594,316,0,1,2,18,0,0,0,0,1,0,0,0,1,2,5,0,0,3,1,3,191,67,0,1,5,0,0,10,0,1,4,0,0,0,0,0,0,0
95,606,332,1,2,4,13,0,0,0,0,2,0,0,1,1,1,7,0,0,3,0,2,216,57,0,0,3,3,0,6,0,5,1,0,0,0,0,0,4,0
99,619,350,2,0,4,5,0,0,0,2,1,1,0,1,1,1,13,0,1,6,1,2,186,86,0,0,4,1,0,17,0,1,2,2,1,0,0,5,4,0
103,631,317,2,0,1,23,0,0,0,3,1,0,0,0,0,4,8,0,2,0,0,1,219,36,0,0,5,0,0,7,0,2,0,0,0,0,0,0,3,0
107,643,298,0,0,5,10,0,0,0,0,0,0,4,0,0,1,8,0,4,7,0,5,186,44,0,1,4,1,0,13,0,1,2,0,0,0,0,0,2,0
111,656,376,0,3,1,19,0,0,0,0,3,0,0,0,1,2,7,0,0,3,1,3,195,97,0,1,3,5,0,19,0,1,4,0,0,0,0,3,5,0
119,681,313,0,0,0,17,0,0,0,0,0,0,0,1,0,1,6,0,0,4,0,3,232,37,0,0,7,0,0,1,0,0,0,1,0,0,0,1,2,0
129,712,310,1,1,7,17,0,0,0,0,0,1,3,0,0,1,5,0,1,3,2,4,194,40,0,0,7,2,0,10,0,1,2,0,0,0,0,1,7,0
151,780,370,0,0,1,11,0,0,0,0,0,0,2,0,0,1,6,0,0,1,1,6,230,90,0,0,2,5,0,12,0,1,0,0,0,0,0,0,1,0
155,792,333,0,5,3,20,0,0,0,0,5,1,0,1,0,2,2,0,0,1,1,1,186,79,0,0,3,2,0,11,0,1,3,3,0,0,0,0,3,0
161,811,386,1,0,2,26,0,0,0,1,0,0,0,1,0,0,8,0,2,3,0,2,166,163,0,0,2,0,0,1,0,1,4,1,0,0,0,0,2,0
165,830,316,0,1,6,11,0,0,0,2,5,0,0,0,1,0,3,0,0,2,0,2,122,146,0,0,2,1,0,3,0,0,3,3,0,0,0,0,3,0
167,840,346,1,1,3,17,0,0,0,0,1,0,0,0,0,1,7,0,0,2,0,2,134,164,0,0,6,1,0,0,0,0,1,2,0,0,0,0,3,0
171,859,322,1,0,2,21,0,0,0,0,0,0,0,1,1,1,7,0,0,3,0,2,147,123,0,0,4,1,0,1,1,0,1,1,0,0,0,0,4,0
175,878,343,0,0,3,12,0,0,0,0,2,0,0,0,0,2,5,0,0,1,0,2,133,166,0,0,4,0,0,1,0,3,0,5,0,0,0,0,4,0
181,907,322,1,1,1,17,0,0,0,0,1,2,0,1,0,1,7,0,0,2,0,3,158,114,0,0,3,1,0,3,0,2,0,2,0,0,1,0,1,0
185,926,345,0,3,6,10,1,0,0,1,3,0,0,0,0,0,3,0,0,3,0,3,142,145,0,0,4,0,1,10,1,1,1,2,0,0,0,0,5,0
191,954,388,3,0,2,19,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,5,199,146,0,0,2,1,0,1,0,0,1,2,0,0,0,0,0,0
195,974,326,1,0,1,25,0,0,0,0,0,0,3,0,0,1,3,0,0,1,0,6,175,102,0,0,1,0,0,3,0,0,3,1,0,0,0,0,0,0
201,1002,323,1,0,4,15,0,0,0,0,2,1,3,0,1,2,2,0,1,1,0,3,144,124,0,1,2,0,0,0,0,1,1,4,1,0,0,0,9,0
205,1022,336,0,0,1,25,0,0,0,0,1,0,7,0,0,1,5,0,0,0,0,4,172,113,0,0,2,0,0,0,0,1,0,2,0,0,0,0,2,0
211,1050,325,1,0,3,24,0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,5,161,116,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0
215,1077,344,1,0,2,28,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,5,151,141,0,0,4,1,0,2,0,0,1,0,0,0,0,0,3,0
219,1103,331,0,1,5,34,2,0,0,0,8,0,0,0,0,2,3,0,0,2,0,1,127,128,0,0,4,1,0,2,0,0,4,2,0,0,0,0,4,1
221,1117,326,0,1,2,38,0,0,0,0,2,0,0,1,0,1,2,0,0,1,1,4,152,105,0,0,7,0,0,1,0,0,1,2,0,0,0,0,5,0
225,1143,326,1,2,3,33,0,0,0,1,2,1,0,0,0,2,2,0,0,3,0,2,100,162,0,0,5,0,0,0,0,1,1,4,0,0,0,0,1,0
227,1156,363,0,1,4,25,1,0,0,0,7,1,0,1,0,2,6,0,0,2,0,2,140,149,0,0,5,0,0,5,0,2,2,4,2,0,0,0,0,2
229,1170,320,2,3,8,28,1,0,0,0,12,0,0,1,0,2,0,0,0,3,3,3,83,157,1,0,3,1,0,2,0,0,2,1,1,0,0,0,3,0
233,1185,333,1,0,1,34,0,0,0,1,4,0,1,0,0,0,2,0,0,0,0,1,150,117,0,0,8,1,0,1,0,2,1,4,1,0,0,0,3,0
237,1201,308,0,0,4,15,0,0,0,2,0,0,3,0,0,1,6,0,1,0,0,2,141,120,0,0,5,0,0,0,0,3,2,0,0,0,0,0,3,0
259,1286,326,2,2,7,20,0,0,0,0,8,0,0,0,0,0,1,0,0,1,0,6,129,130,0,0,4,0,0,2,0,2,4,0,0,0,0,0,8,0
261,1294,327,1,3,4,18,0,0,0,1,1,0,2,0,0,0,5,0,0,0,0,5,166,115,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0
263,1301,330,0,0,0,29,0,0,0,0,4,0,1,1,0,0,6,0,0,3,0,4,157,113,0,0,3,0,0,0,0,2,1,0,3,0,0,0,3,0
271,1332,332,1,1,5,27,2,0,0,3,2,0,1,1,0,0,3,0,0,3,0,1,145,129,0,0,1,0,0,1,0,1,1,2,0,0,0,0,2,0
283,1379,312,2,1,3,26,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,2,141,122,0,0,2,0,0,0,0,1,2,1,0,0,0,0,1,0
287,1394,321,2,1,5,20,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,4,153,126,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0
291,1410,313,1,1,7,22,0,0,0,0,1,0,0,1,0,2,4,0,0,2,0,3,122,129,0,0,4,1,0,3,0,0,0,2,0,0,0,0,8,0
295,1425,330,0,3,7,28,1,0,0,0,5,1,0,2,0,0,1,0,1,5,0,0,116,144,0,0,4,2,0,1,0,2,1,1,0,0,0,0,5,0
307,NA,329,2,0,3,16,0,0,0,2,4,0,3,0,0,0,3,0,0,0,5,3,128,146,0,0,0,1,0,2,0,0,2,2,0,0,0,0,7,0
319,NA,304,0,0,1,34,0,0,0,1,0,0,0,0,0,1,3,1,0,3,0,7,166,73,0,0,7,0,0,1,0,1,0,2,0,0,0,0,3,0
327,NA,329,1,0,14,18,3,0,0,0,0,0,0,0,0,0,2,0,0,7,0,1,122,151,0,0,2,0,0,1,0,0,2,3,0,0,0,0,2,0
335,NA,334,2,0,4,19,0,0,0,0,1,3,0,0,1,0,4,0,0,6,0,2,124,137,0,0,6,1,0,1,0,0,4,11,0,0,0,1,7,0
351,NA,351,1,3,5,22,4,0,0,1,4,0,0,0,0,0,4,0,0,1,0,3,89,196,0,0,0,0,0,1,1,1,4,1,0,0,0,0,10,0
353,NA,363,1,3,0,21,0,1,0,0,3,1,0,0,0,0,4,0,0,2,0,3,138,172,0,0,4,0,0,3,0,1,2,3,0,0,0,0,1,0
355,NA,340,0,4,2,28,2,0,0,1,5,1,0,0,1,0,7,0,0,2,0,0,105,161,1,0,5,1,0,3,0,0,3,5,0,0,0,0,3,0
357,NA,405,0,0,8,31,0,0,0,0,1,1,0,0,0,0,7,0,1,6,0,3,189,136,0,0,6,2,0,0,0,4,2,1,1,2,0,0,4,0
365,NA,377,0,6,3,22,3,0,0,2,7,0,0,0,0,0,3,0,0,1,0,4,134,175,0,0,4,0,0,3,1,0,2,3,0,0,0,0,3,1
369,NA,334,0,1,8,21,3,0,0,3,1,0,0,0,0,0,3,0,0,0,1,1,107,169,0,0,2,0,0,3,0,0,3,2,0,0,0,0,6,0
377,NA,328,2,1,2,9,4,0,0,2,7,0,0,0,0,1,7,0,0,1,0,1,112,154,0,0,2,2,0,3,0,0,6,2,0,0,0,0,10,0
389,NA,334,0,4,5,6,1,0,0,2,9,0,0,1,1,0,3,0,0,3,0,0,92,183,0,0,1,2,0,2,2,1,6,6,0,0,0,0,4,0
395,NA,323,1,2,3,15,0,0,0,0,1,0,0,0,1,1,5,0,0,1,0,1,153,122,0,0,7,0,0,0,0,1,3,1,0,0,0,0,5,0
407,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,NA,239,1,5,3,10,1,0,0,1,2,0,0,0,1,1,0,0,0,4,0,0,82,110,0,0,0,2,0,2,0,2,4,4,0,0,0,0,4,0
419,NA,366,1,0,6,15,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,2,176,144,0,0,4,1,0,0,1,0,2,4,0,0,0,0,3,0
427,NA,332,0,0,5,19,1,0,0,0,0,0,3,0,0,5,3,0,0,1,1,1,156,127,0,0,0,0,0,1,0,1,1,3,0,0,0,0,4,0
439,NA,402,1,5,7,13,0,0,0,0,13,0,0,3,1,0,3,0,0,7,1,0,109,200,0,0,4,0,0,2,1,3,7,12,0,0,1,0,9,0
447,NA,339,1,1,4,28,0,0,0,1,0,0,2,1,0,1,4,0,0,2,2,3,165,116,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0
